Habitat,Sex,Standard length,Eye diameter,Head length,Head width,Predorsal length,Gape width
Cave,Female,40,2.5,11.0,8.6,13.1,4.4
Cave,Female,40,2.2,11.5,9.0,13.8,4.1
Cave,Female,28,2.2,9.5,7.0,8.9,4.5
Cave,Female,37,2.5,11.5,8.1,11.6,5.1
Cave,Female,29,2.6,9.1,7.1,9.8,4.9
Cave,Female,30,2.1,9.4,6.7,9.7,3.7
Cave,Female,36,2.9,11.7,8.3,11.4,5.0
Cave,Female,26,2.2,8.6,6.2,8.4,4.2
Cave,Female,34,2.2,10.5,8.1,11.1,4.3
Cave,Female,32,2.7,10.6,8.9,10.7,5.2
Cave,Female,40,2.5,12.3,10.0,13.0,5.2
Cave,Female,26,2.3,9.4,6.8,8.7,4.0
Cave,Female,34,2.4,9.5,7.2,11.4,4.1
Cave,Female,32,2.7,9.4,7.2,10.3,4.3
Cave,Female,36,2.5,10.6,8.3,11.9,3.5
Cave,Female,29,1.8,8.9,7.4,9.6,4.5
Cave,Female,32,2.8,10.5,8.7,10.8,6.1
Cave,Female,35,2.1,10.7,8.2,11.8,3.8
Cave,Female,29,2.1,8.6,6.3,9.9,3.0
Cave,Female,22,1.5,7.4,5.9,7.6,3.3
Cave,Male,37,1.7,11.1,8.3,12.8,5.7
Cave,Male,31,2.5,8.8,6.4,10.8,3.7
Cave,Male,29,2.1,8.6,6.4,9.9,4.0
Cave,Male,32,2.4,9.3,6.4,10.7,3.8
Cave,Male,24,2.5,8.7,5.9,7.5,3.8
Cave,Male,22,2.0,6.7,5.7,7.3,3.4
Cave,Male,26,1.8,8.0,5.7,8.6,3.5
Cave,Male,22,1.6,6.8,5.0,7.8,3.3
Cave,Male,26,1.6,7.4,5.2,8.8,2.8
Cave,Male,25,2.0,9.0,6.0,8.5,3.7
Cave,Male,23,2.4,7.7,5.5,7.2,3.3
Cave,Male,23,1.9,7.9,5.5,7.8,3.4
Cave,Male,22,2.2,7.4,4.6,7.7,3.3
Cave,Male,26,2.1,8.7,6.2,8.2,4.3
Cave,Male,26,2.1,8.0,5.6,9.2,3.1
Cave,Male,24,2.3,7.5,5.0,7.7,3.8
Cave,Male,27,2.0,8.3,5.5,8.8,3.0
Cave,Female,33,1.2,8.3,5.7,11.3,2.6
Cave,Male,36,1.4,7.9,5.0,11.3,2.7
Cave,Female,51,2.8,11.4,8.4,16.8,4.2
Cave,Female,36,2.2,9.4,7.4,11.8,4.2
Cave,Female,43,2.5,9.4,7.4,13.9,3.7
Cave,Male,30,1.5,6.7,4.9,9.6,2.6
Cave,Female,64,2.9,13.3,10.6,21.7,6.5
Cave,Female,43,2.8,10.5,7.2,13.9,3.5
Cave,Female,42,2.1,9.6,6.9,13.5,3.7
Cave,Male,49,2.3,10.9,8.1,16.6,5.2
Cave,Male,35,1.6,8.0,5.7,11.5,2.6
Cave,Male,32,1.5,7.4,5.3,10.3,2.9
Cave,Male,39,1.9,7.8,5.5,13.2,3.5
Cave,Male,24,1.4,7.1,4.9,7.9,2.5
Cave,Male,31,1.5,10.3,7.3,9.8,5.0
Cave,Male,29,1.9,8.7,6.0,9.4,4.0
Cave,Male,26,1.8,8.4,5.8,8.6,3.4
Cave,Male,25,2.0,7.8,5.7,8.4,3.3
Cave,Male,35,1.7,11.4,7.9,11.5,5.2
Cave,Male,27,1.6,8.2,6.5,8.8,3.5
Cave,Male,25,2.1,8.2,5.5,8.0,3.2
Cave,Male,27,1.7,8.2,5.8,8.8,3.1
Cave,Male,25,1.5,8.5,5.3,8.4,3.0
Cave,Male,25,1.8,8.0,5.5,8.8,3.3
Cave,Male,33,2.1,10.2,7.5,10.9,5.1
Cave,Male,26,1.6,8.0,5.8,8.1,3.3
Cave,Male,29,1.4,9.3,6.7,9.1,4.5
Cave,Male,29,1.7,8.4,6.5,9.6,3.5
Cave,Female,41,2.7,12.2,9.4,13.8,5.1
Cave,Female,37,2.1,10.7,8.2,12.1,4.3
Cave,Female,38,2.6,11.9,8.6,12.3,5.2
Cave,Female,38,2.3,11.2,9.2,12.4,5.5
Cave,Female,27,1.7,8.3,6.1,8.8,3.3
Cave,Female,39,2.2,11.4,8.8,12.7,5.4
Cave,Female,33,2.3,10.7,8.0,10.5,4.6
Cave,Female,37,2.1,11.2,8.3,11.9,4.9
Cave,Female,35,2.4,10.6,8.9,11.7,5.3
Cave,Female,41,2.3,12.4,9.2,13.5,4.8
Cave,Female,32,2.4,9.5,7.5,10.6,3.6
Cave,Female,37,2.4,10.2,8.3,12.3,4.3
Cave,Female,33,1.8,9.6,7.8,10.3,7.1
Cave,Female,30,2.5,9.6,7.7,9.6,6.7
Cave,Female,38,1.7,11.1,9.9,12.7,7.3
Cave,Female,20,1.3,6.4,5.0,6.3,2.6
Cave,Female,27,1.9,8.5,6.8,9.1,3.0
Cave,Female,31,1.8,9.4,7.1,9.8,3.6
Cave,Female,22,1.4,7.0,5.1,7.7,2.4
Cave,Female,23,1.8,7.4,5.6,7.7,3.0
Surface,Female,43,3.0,11.0,8.4,14.6,4.8
